Information Security Policies,Is there a documented information security policy approved by management?,"Yes, reviewed and updated annually.",1,"Yes, but not reviewed annually.",2,Only partially documented.,3,No documented policy.,4
Information Security Policies,How often is the information security policy communicated to employees and relevant external parties?,Annually and upon updates.,1,Only at induction.,2,Infrequently / As needed.,3,Never formally communicated.,4
Information Security Policies,Does the information security policy include requirements for compliance with relevant laws and regulations?,Fully compliant and regularly updated.,1,Generally compliant with some updates needed.,2,Partially compliant; not all laws covered.,3,Non-compliant or unknown.,4
Information Security Policies,Are roles and responsibilities for information security defined and communicated across the organization?,Clearly defined and well communicated.,1,Defined but not regularly communicated.,2,Poorly defined or partially communicated.,3,Not defined or communicated.,4
Information Security Policies,"Is the information security policy supported by subordinate security policies (e.g., access control, incident management)?","Yes, comprehensive and aligned.",1,"Yes, but some areas are not covered.",2,Only a few basic policies in place.,3,No subordinate policies.,4
Information Security Policies,How is feedback on the information security policy gathered and used from employees?,Systematically gathered and regularly used to improve policies.,1,Gathered but not regularly used for improvement.,2,Rarely gathered or used.,3,Not gathered at all.,4
Information Security Policies,Are policy breaches and non-compliance issues handled in a timely and effective manner?,Always handled promptly and effectively.,1,Generally handled well but some delays.,2,Inconsistently handled.,3,Rarely or never addressed.,4
Information Security Policies,Is there a process for regularly reviewing and updating the information security policy?,Reviewed and updated at least annually.,1,Reviewed every two years or after major changes.,2,Infrequently reviewed or updated.,3,Never reviewed or updated.,4
Information Security Policies,Does the organization have a formal policy approval process involving senior management?,"Yes, with documented approval from senior management.",1,"Yes, but informal or not clearly documented.",2,Only key policies are formally approved.,3,No formal approval process.,4
Information Security Policies,Are all employees required to sign an acknowledgment of understanding the information security policy?,"Yes, annually.",1,At employment start only.,2,Only for IT staff.,3,No requirement.,4
Information Security Policies,How are updates to the information security policy communicated to all relevant parties?,Through multiple channels promptly after updates.,1,Through a single channel after updates.,2,Communication is inconsistent.,3,Updates are not communicated.,4
Information Security Policies,Are responsibilities for managing and maintaining the information security policy assigned to specific roles?,"Yes, with clear assignments and accountability.",1,"Yes, but roles are not clearly defined.",2,"Partially, with some ambiguity.",3,No specific responsibilities assigned.,4
Information Security Policies,Does the policy include provisions for regular training and awareness programs?,"Yes, comprehensive programs in place.",1,Basic training provided.,2,Only ad hoc or irregular training.,3,No training or awareness programs.,4
Information Security Policies,Are the objectives of the information security policy aligned with the business goals of the organization?,Fully aligned and supportive of business goals.,1,Generally aligned but could be improved.,2,Poor alignment and sometimes contradictory.,3,Not aligned or unknown.,4
Information Security Policies,Is the effectiveness of the information security policy regularly assessed using metrics or KPIs?,"Yes, with clear metrics and regular assessments.",1,"Yes, but metrics are not regularly reviewed.",2,Rarely assessed and no clear metrics.,3,Not assessed.,4
Information Security Policies,Are third parties and partners required to comply with the organization's information security policy?,"Yes, compliance is mandatory and regularly verified.",1,"Yes, but compliance is infrequently verified.",2,Only critical partners must comply.,3,No such requirements.,4
Information Security Policies,How are risks that could affect the information security policy identified and managed?,Systematically identified and managed with regular reviews.,1,Identified but only reactively managed.,2,Poorly identified and managed.,3,Not identified or managed.,4
Information Security Policies,Is there a designated information security manager or equivalent role within the organization?,"Yes, with clear authority and responsibility.",1,"Yes, but with limited authority.",2,Role not dedicated to information security.,3,No designated role.,4
Information Security Policies,Are there clear consequences and penalties for non-compliance with the information security policy?,"Yes, clearly defined and enforced.",1,"Yes, defined but not consistently enforced.",2,Not clearly defined.,3,No consequences defined.,4
Information Security Policies,Does the policy address both internal and external security threats?,"Yes, comprehensively covers all relevant threats.",1,Covers major threats but some gaps exist.,2,Primarily focuses on internal threats only.,3,Lacks comprehensive threat coverage.,4
Asset Management,"Is there an up-to-date inventory of all assets, including cloud-based resources?","Yes, fully detailed and updated quarterly.",1,"Yes, but updated less frequently than quarterly.",2,Only critical physical and cloud assets are inventoried.,3,No comprehensive asset inventory.,4
Asset Management,"Are ownership responsibilities clearly defined for all information assets, including cloud data?","Yes, for all assets, including specific cloud data ownership.",1,"Yes, but only for critical assets and main cloud resources.",2,Not clearly defined for all cloud assets.,3,No defined responsibilities for cloud assets.,4
Asset Management,"How are assets classified in terms of their criticality and sensitivity, especially in cloud environments?","All assets, including cloud, are classified and regularly reviewed.",1,Most assets are classified; cloud assets are partially classified.,2,"Classification is inconsistent, with cloud assets often overlooked.",3,"No formal classification of assets, including cloud assets.",4
Asset Management,Are there controls to manage the introduction and removal of software from cloud platforms?,Strict controls and monitoring are in place.,1,Controls exist but aren't always enforced for cloud software.,2,"Informal controls, inconsistently applied to cloud software.",3,No controls for managing cloud software.,4
Asset Management,How is information related to cloud assets protected against unauthorized access or changes?,Highly secure with encryption and access controls.,1,Secure but could be improved for some cloud assets.,2,Inadequate protection for several cloud assets.,3,Protection measures for cloud assets are not defined.,4
Asset Management,Is there a policy for the acceptable use of cloud services and assets?,Comprehensive policy covering all use cases.,1,Policy covers most common use cases.,2,"Limited policy, unclear on many aspects of cloud use.",3,No policy for the use of cloud services.,4
Asset Management,Are all cloud assets included in the business continuity and disaster recovery plans?,Fully included with specific recovery procedures.,1,Mostly included but some assets lack specific plans.,2,Some critical cloud assets included; many are not.,3,Cloud assets are not considered in continuity plans.,4
Asset Management,How are cloud services and assets monitored for security threats?,Continuous monitoring with automated alerts.,1,"Regular monitoring, but not all cloud assets are covered.",2,Infrequent monitoring; many cloud assets are unchecked.,3,No monitoring of cloud assets.,4
Asset Management,What is the procedure for updating and patching cloud systems and software?,Well-defined and strictly followed schedule.,1,Generally adhered to but occasionally delayed.,2,Infrequent or ad hoc updates and patches.,3,No specific procedures for cloud systems.,4
